index,mid,spread,microprice,imbalance,ema_microprice,realized_vol
235000,109.91856,0.02062,109.91372,-0.46908,109.97111,0.0001271
240000,111.16433,0.04753,111.16181,-0.10576,111.17108,0.0001270
245000,111.62848,0.03300,111.62931,0.05009,111.61503,0.0001268
250000,110.95449,0.05078,110.95368,-0.03206,111.00680,0.0001266
255000,110.30255,0.04951,110.30891,0.25708,110.23872,0.0001265
260000,110.40226,0.03609,110.39149,-0.59702,110.37565,0.0001263
265000,111.37033,0.05620,111.36862,-0.06088,111.38964,0.0001261
270000,111.64693,0.02876,111.64238,-0.31634,111.64579,0.0001259
275000,111.95065,0.04609,111.95161,0.04175,111.98253,0.0001258
280000,112.61483,0.04580,112.61833,0.15299,112.56801,0.0001257
285000,111.50092,0.04608,111.49979,-0.04900,111.39621,0.0001255
290000,111.90093,0.05580,111.90645,0.19792,111.89229,0.0001254
295000,112.21295,0.04685,112.21784,0.20859,112.21945,0.0001253
300000,112.00111,0.04171,112.00920,0.38768,111.93130,0.0001252
305000,112.03271,0.05324,112.04368,0.41202,112.01930,0.0001251
310000,112.37175,0.04074,112.38312,0.55800,112.37594,0.0001249
315000,112.79023,0.02884,112.78375,-0.44950,112.74978,0.0001248
320000,113.14283,0.03860,113.13673,-0.31586,113.12183,0.0001246
325000,114.00236,0.02084,114.00540,0.29192,113.99960,0.0001245
330000,113.57666,0.05744,113.57213,-0.15767,113.51247,0.0001244
335000,113.51688,0.02140,113.51901,0.19875,113.52510,0.0001243
340000,114.00998,0.05499,114.01066,0.02458,113.96095,0.0001241
345000,114.88838,0.03777,114.89492,0.34630,114.87103,0.0001240
350000,116.53814,0.03903,116.52667,-0.58782,116.50330,0.0001238
355000,115.77252,0.02036,115.76999,-0.24830,115.77308,0.0001237
360000,114.71716,0.03417,114.71867,0.08815,114.69071,0.0001235
365000,115.74022,0.05285,115.75033,0.38244,115.77502,0.0001234
370000,116.60374,0.02333,116.60257,-0.10014,116.57137,0.0001232
375000,118.17633,0.04964,118.18268,0.25566,118.16431,0.0001231
380000,118.29379,0.02499,118.28767,-0.48984,118.27742,0.0001230
385000,117.97049,0.05475,117.96593,-0.16673,117.94723,0.0001228
390000,117.76004,0.05980,117.75382,-0.20787,117.77252,0.0001226
395000,119.18561,0.05905,119.19500,0.31786,119.17383,0.0001225
400000,119.44738,0.03022,119.44586,-0.10053,119.39434,0.0001223
405000,119.21650,0.02731,119.22235,0.42842,119.21049,0.0001222
410000,118.91910,0.04188,118.91428,-0.23010,118.89665,0.0001221
415000,118.87172,0.03882,118.86795,-0.19420,118.86299,0.0001219
420000,119.45016,0.04269,119.45579,0.26388,119.40723,0.0001218
425000,119.69867,0.02448,119.69973,0.08684,119.71311,0.0001216
430000,119.88848,0.02544,119.89459,0.48043,119.90462,0.0001215
435000,120.11478,0.05180,120.10533,-0.36508,120.20596,0.0001213
440000,120.98143,0.05611,120.97424,-0.25639,120.95497,0.0001212
445000,120.83191,0.02212,120.83315,0.11181,120.88991,0.0001210
450000,120.26101,0.05931,120.27714,0.54385,120.26613,0.0001209
455000,119.68510,0.05838,119.67336,-0.40237,119.71557,0.0001208
460000,119.54875,0.02462,119.54892,0.01385,119.53586,0.0001207
465000,119.55374,0.05709,119.55686,0.10945,119.51891,0.0001205
470000,121.66148,0.03174,121.65142,-0.63406,121.67051,0.0001204
475000,122.64510,0.05277,122.65243,0.27787,122.60464,0.0001203
480000,121.38269,0.03597,121.38540,0.15057,121.36981,0.0001202
485000,119.33905,0.05679,119.34156,0.08827,119.41025,0.0001201
490000,120.36969,0.04927,120.35997,-0.39439,120.30803,0.0001200
495000,120.07624,0.03897,120.07429,-0.09980,120.05107,0.0001199
500000,119.26026,0.05273,119.26382,0.13492,119.26598,0.0001198
505000,118.99555,0.02987,118.99829,0.18330,119.02243,0.0001197
510000,119.45752,0.03049,119.45950,0.12956,119.49860,0.0001196
515000,119.39401,0.05464,119.38865,-0.19647,119.41553,0.0001195
520000,118.95452,0.02608,118.94974,-0.36666,118.94257,0.0001194
525000,120.05073,0.04218,120.04689,-0.18201,120.10514,0.0001193
530000,120.46295,0.03194,120.46302,0.00395,120.48306,0.0001192
535000,120.29199,0.04197,120.29153,-0.02179,120.29621,0.0001191
540000,119.62084,0.05245,119.62174,0.03441,119.68292,0.0001190
545000,119.39832,0.03262,119.40036,0.12526,119.39855,0.0001189
550000,119.03054,0.02004,119.02902,-0.15231,119.00527,0.0001188
555000,119.27506,0.04713,119.26713,-0.33639,119.25222,0.0001187
560000,119.26128,0.04788,119.25182,-0.39491,119.22788,0.0001187
565000,118.94605,0.02709,118.95283,0.50054,118.97250,0.0001186
570000,118.14517,0.04867,118.13628,-0.36517,118.15870,0.0001185
575000,117.90799,0.04553,117.90521,-0.12179,117.95646,0.0001185
580000,117.71775,0.04800,117.72373,0.24947,117.68217,0.0001184
585000,116.81911,0.04258,116.81922,0.00493,116.78880,0.0001184
590000,117.58107,0.02617,117.57867,-0.18408,117.59061,0.0001183
595000,118.20871,0.04063,118.20685,-0.09158,118.21423,0.0001182
600000,118.44200,0.04651,118.45012,0.34906,118.42343,0.0001182
605000,116.72294,0.05539,116.72713,0.15126,116.71239,0.0001181
610000,116.63493,0.04631,116.63038,-0.19681,116.65639,0.0001181
615000,116.40640,0.04936,116.41624,0.39855,116.43498,0.0001180
620000,115.81060,0.04268,115.82348,0.60372,115.81005,0.0001180
625000,116.47585,0.03545,116.47641,0.03179,116.43917,0.0001179
630000,116.70549,0.02121,116.70484,-0.06064,116.72567,0.0001179
635000,116.09567,0.03396,116.10083,0.30375,116.07745,0.0001178
640000,116.19704,0.04826,116.20812,0.45889,116.14134,0.0001178
645000,115.29162,0.05701,115.29408,0.08608,115.30257,0.0001178
650000,116.00894,0.02087,116.00613,-0.26951,115.99351,0.0001177
655000,116.60476,0.05128,116.59727,-0.29193,116.60512,0.0001177
660000,116.71394,0.02580,116.71947,0.42824,116.72366,0.0001176
665000,116.49097,0.02952,116.48721,-0.25454,116.46300,0.0001176
670000,116.54480,0.04217,116.53518,-0.45632,116.52334,0.0001176
675000,115.54164,0.02820,115.53898,-0.18856,115.52038,0.0001175
680000,114.63780,0.02765,114.64194,0.29909,114.72453,0.0001175
685000,113.77155,0.03253,113.76633,-0.32046,113.83042,0.0001174
690000,113.88301,0.03759,113.87364,-0.49846,113.89828,0.0001174
695000,114.18090,0.05301,114.17718,-0.14040,114.20563,0.0001174
700000,112.87736,0.02433,112.88264,0.43466,112.87696,0.0001174
705000,112.97225,0.05530,112.97584,0.12975,112.97607,0.0001174
710000,112.46692,0.03437,112.46351,-0.19811,112.50913,0.0001174
715000,111.55068,0.05804,111.55122,0.01871,111.56675,0.0001173
720000,110.35472,0.03829,110.35763,0.15200,110.34829,0.0001173
725000,110.03502,0.03672,110.02670,-0.45325,110.04248,0.0001174
730000,110.67202,0.05208,110.67437,0.09038,110.66127,0.0001173
735000,109.39767,0.04049,109.40555,0.38929,109.40200,0.0001174
740000,109.91201,0.04675,109.91344,0.06121,109.89348,0.0001174
745000,111.03726,0.03026,111.04347,0.41057,111.02033,0.0001174
750000,110.56386,0.05979,110.55391,-0.33275,110.55869,0.0001174
755000,110.67182,0.04444,110.67551,0.16618,110.62409,0.0001174
760000,110.08294,0.04410,110.09108,0.36914,110.08954,0.0001174
765000,109.46392,0.03190,109.46174,-0.13667,109.43549,0.0001174
770000,110.60543,0.02524,110.59803,-0.58652,110.64897,0.0001174
775000,111.35926,0.02396,111.36380,0.37891,111.39283,0.0001175
780000,111.34826,0.02087,111.34568,-0.24680,111.38520,0.0001175
785000,111.60410,0.05614,111.60805,0.14083,111.59286,0.0001175
790000,111.32054,0.05450,111.33226,0.43002,111.31726,0.0001175
795000,110.54515,0.02252,110.54251,-0.23483,110.52195,0.0001175
800000,110.19533,0.05846,110.20618,0.37130,110.13668,0.0001175
805000,109.81969,0.04928,109.83112,0.46392,109.82086,0.0001175
810000,109.76823,0.02443,109.76934,0.09084,109.76407,0.0001175
815000,110.40247,0.03721,110.40085,-0.08700,110.38378,0.0001175
820000,110.73179,0.04920,110.71981,-0.48669,110.76636,0.0001175
825000,112.37681,0.02767,112.37390,-0.21008,112.40635,0.0001175
830000,112.26903,0.03101,112.27223,0.20619,112.32218,0.0001175
835000,112.17264,0.04220,112.16456,-0.38309,112.15718,0.0001175
840000,110.87652,0.02483,110.87309,-0.27674,110.90984,0.0001175
845000,111.72962,0.03068,111.72881,-0.05263,111.67944,0.0001175
850000,111.81029,0.03732,111.81171,0.07623,111.82518,0.0001175
855000,111.86203,0.05066,111.87504,0.51365,111.81540,0.0001175
860000,112.13272,0.04512,112.13983,0.31524,112.12985,0.0001175
865000,112.58261,0.03848,112.57499,-0.39608,112.59086,0.0001175
870000,114.00670,0.04701,114.01791,0.47677,113.98742,0.0001175
875000,113.76585,0.05585,113.78003,0.50772,113.73628,0.0001175
880000,114.65111,0.04341,114.64577,-0.24619,114.58129,0.0001174
885000,113.30257,0.03628,113.30674,0.22998,113.29897,0.0001174
890000,113.95031,0.02188,113.94594,-0.39958,113.94154,0.0001174
895000,113.72034,0.04421,113.71923,-0.05025,113.70799,0.0001174
900000,114.14283,0.03937,114.13779,-0.25576,114.17320,0.0001174
905000,112.44495,0.02563,112.44167,-0.25572,112.42048,0.0001174
910000,113.24274,0.04688,113.23320,-0.40695,113.25764,0.0001174
915000,112.46215,0.02882,112.46153,-0.04297,112.50859,0.0001173
920000,112.36860,0.03343,112.36936,0.04566,112.35178,0.0001174
925000,111.98433,0.05471,111.97371,-0.38815,111.98505,0.0001174
930000,111.99314,0.03784,111.99310,-0.00184,111.95426,0.0001174
935000,112.12955,0.05242,112.13099,0.05493,112.15570,0.0001173
940000,113.29994,0.03408,113.29851,-0.08395,113.29380,0.0001174
945000,113.73014,0.04380,113.72771,-0.11079,113.77342,0.0001173
950000,113.88476,0.03943,113.89092,0.31247,113.85416,0.0001173
955000,113.84799,0.02604,113.85116,0.24336,113.88581,0.0001173
960000,114.79291,0.04867,114.80490,0.49270,114.78629,0.0001173
965000,115.44493,0.03200,115.44183,-0.19401,115.46419,0.0001173
970000,115.86775,0.04607,115.86938,0.07055,115.85680,0.0001173
975000,115.34182,0.05599,115.33826,-0.12725,115.32939,0.0001173
980000,116.41047,0.05545,116.41043,-0.00136,116.39269,0.0001172
985000,116.84854,0.05872,116.84806,-0.01638,116.84534,0.0001172
990000,116.32977,0.03764,116.33771,0.42191,116.39609,0.0001172
995000,117.33880,0.05213,117.33081,-0.30660,117.31772,0.0001171
1000000,118.13995,0.03377,118.13999,0.00244,118.16620,0.0001171
1005000,119.21734,0.05942,119.22179,0.14971,119.23920,0.0001171
1010000,121.05628,0.05740,121.06701,0.37389,121.07460,0.0001171
1015000,121.53165,0.02988,121.52882,-0.18999,121.48610,0.0001170
1020000,121.48428,0.02419,121.48935,0.41934,121.48378,0.0001170
1025000,120.98853,0.02408,120.98731,-0.10088,120.95275,0.0001169
1030000,121.99350,0.04144,121.99928,0.27919,122.00904,0.0001169
1035000,122.12601,0.05065,122.13163,0.22223,122.15775,0.0001168
1040000,121.51026,0.02399,121.51478,0.37722,121.53563,0.0001168
1045000,122.07707,0.02702,122.07962,0.18872,122.06442,0.0001167
1050000,122.20602,0.03005,122.20651,0.03270,122.21975,0.0001167
1055000,121.83393,0.05957,121.82616,-0.26102,121.83011,0.0001167
1060000,120.98769,0.04427,120.98588,-0.08147,120.97775,0.0001166
1065000,121.54408,0.02096,121.54007,-0.38276,121.48840,0.0001166
1070000,121.43079,0.03375,121.43733,0.38725,121.43357,0.0001166
1075000,120.85450,0.02780,120.84931,-0.37316,120.85059,0.0001165
1080000,119.04239,0.05023,119.05134,0.35634,119.06019,0.0001165
1085000,119.20105,0.03854,119.19453,-0.33831,119.17314,0.0001165
1090000,118.47735,0.04203,118.48069,0.15866,118.50839,0.0001164
1095000,117.65861,0.02492,117.65477,-0.30827,117.59745,0.0001164
1100000,117.03539,0.05447,117.03613,0.02723,117.01324,0.0001164
1105000,116.60240,0.03823,116.60068,-0.08993,116.61705,0.0001164
1110000,116.01109,0.02487,116.00871,-0.19103,115.97212,0.0001164
1115000,115.46352,0.05935,115.47152,0.26963,115.52072,0.0001163
1120000,115.24308,0.02585,115.24784,0.36826,115.19421,0.0001163
1125000,114.37967,0.05882,114.38301,0.11369,114.41859,0.0001163
1130000,113.16800,0.03938,113.17111,0.15812,113.23359,0.0001163
1135000,113.91176,0.04102,113.91295,0.05791,113.90164,0.0001163
1140000,112.98247,0.02103,112.97897,-0.33294,112.98489,0.0001163
1145000,113.31244,0.03924,113.30765,-0.24451,113.30769,0.0001163
1150000,114.16503,0.02307,114.16585,0.07120,114.13843,0.0001163
1155000,114.43278,0.05886,114.43456,0.06045,114.43930,0.0001163
1160000,114.17878,0.05260,114.18427,0.20873,114.15030,0.0001163
1165000,114.54069,0.03947,114.54184,0.05840,114.56039,0.0001163
1170000,113.74195,0.03640,113.74771,0.31657,113.78420,0.0001163
1175000,113.03728,0.05490,113.03709,-0.00721,113.06794,0.0001163
1180000,112.57678,0.03315,112.57495,-0.11032,112.63826,0.0001163
1185000,112.50247,0.02786,112.50251,0.00281,112.51134,0.0001163
1190000,112.22562,0.05814,112.23553,0.34100,112.26138,0.0001163
1195000,112.14745,0.03106,112.14951,0.13230,112.15094,0.0001163
1200000,112.50493,0.04748,112.51506,0.42667,112.54112,0.0001163
1205000,112.81438,0.03474,112.81187,-0.14494,112.88417,0.0001163
1210000,112.88911,0.02631,112.89533,0.47256,112.86112,0.0001163
1215000,113.69044,0.03153,113.69233,0.12038,113.72547,0.0001163
1220000,112.67835,0.04218,112.67396,-0.20846,112.63109,0.0001163
1225000,112.19703,0.03706,112.19658,-0.02465,112.17851,0.0001163
1230000,112.76428,0.02476,112.76961,0.43010,112.78603,0.0001163
1235000,112.47765,0.05996,112.47678,-0.02870,112.52424,0.0001163
1240000,113.00361,0.02210,113.00140,-0.20026,112.99929,0.0001163
1245000,113.51795,0.04150,113.50886,-0.43771,113.56815,0.0001163
1250000,114.08734,0.02695,114.08947,0.15764,114.05648,0.0001163
1255000,114.25509,0.03586,114.24981,-0.29465,114.26049,0.0001162
1260000,113.46336,0.04336,113.47044,0.32679,113.46922,0.0001162
1265000,114.62542,0.04339,114.61910,-0.29153,114.69901,0.0001162
1270000,115.77752,0.02364,115.77418,-0.28268,115.76316,0.0001162
1275000,115.77103,0.05607,115.75882,-0.43537,115.77875,0.0001162
1280000,115.15352,0.02453,115.14895,-0.37292,115.15680,0.0001162
1285000,114.32162,0.04962,114.32245,0.03341,114.32130,0.0001162
1290000,114.37050,0.04990,114.37150,0.03972,114.35730,0.0001162
1295000,114.53988,0.04088,114.53862,-0.06160,114.54267,0.0001162
1300000,115.14520,0.03182,115.14079,-0.27754,115.14787,0.0001162
1305000,115.47188,0.05564,115.47601,0.14857,115.50800,0.0001162
1310000,114.66280,0.02484,114.66208,-0.05792,114.62241,0.0001162
1315000,114.44418,0.05008,114.43945,-0.18902,114.44497,0.0001161
1320000,114.46670,0.02210,114.46803,0.12055,114.48828,0.0001161
1325000,115.54834,0.03641,115.54268,-0.31085,115.58866,0.0001161
1330000,115.56902,0.02092,115.56804,-0.09330,115.59152,0.0001161
1335000,116.45802,0.02015,116.45831,0.02846,116.45989,0.0001161
1340000,116.55881,0.04080,116.55050,-0.40730,116.53047,0.0001161
1345000,116.83331,0.05052,116.84634,0.51585,116.84913,0.0001161
1350000,116.68945,0.05566,116.68969,0.00876,116.70678,0.0001161
1355000,116.64097,0.04747,116.64724,0.26421,116.61777,0.0001161
1360000,116.44185,0.02425,116.44311,0.10359,116.44221,0.0001160
1365000,115.54547,0.03139,115.54600,0.03351,115.58344,0.0001160
1370000,115.89071,0.03822,115.88428,-0.33640,115.94824,0.0001160
1375000,115.87815,0.02558,115.88100,0.22300,115.90312,0.0001160
1380000,116.07480,0.04224,116.06951,-0.25029,116.11932,0.0001160
1385000,116.34096,0.04881,116.33957,-0.05693,116.40439,0.0001160
1390000,116.70498,0.03255,116.69755,-0.45642,116.69377,0.0001160
1395000,117.22614,0.03590,117.23239,0.34825,117.16371,0.0001160
1400000,117.06276,0.04956,117.05546,-0.29445,117.03313,0.0001160
1405000,117.12209,0.05195,117.13472,0.48600,117.16237,0.0001159
1410000,116.73102,0.05526,116.72122,-0.35472,116.77525,0.0001159
1415000,116.65103,0.02876,116.64774,-0.22862,116.71283,0.0001159
1420000,117.26670,0.05878,117.26484,-0.06319,117.25838,0.0001159
1425000,116.63366,0.04629,116.62607,-0.32774,116.68248,0.0001159
1430000,115.13832,0.02132,115.13344,-0.45777,115.12208,0.0001159
1435000,115.94718,0.02643,115.95401,0.51686,115.94441,0.0001159
1440000,115.73011,0.05695,115.74158,0.40294,115.68656,0.0001159
1445000,116.05249,0.04626,116.04957,-0.12658,116.04930,0.0001159
1450000,115.54718,0.05921,115.53386,-0.44982,115.57166,0.0001158
1455000,115.09446,0.05949,115.09090,-0.11945,115.02990,0.0001158
1460000,115.50676,0.02451,115.50778,0.08370,115.49061,0.0001158
1465000,117.08058,0.04710,117.08005,-0.02244,117.05044,0.0001158
1470000,118.14918,0.03371,118.14135,-0.46451,118.21301,0.0001158
1475000,119.37470,0.05429,119.37640,0.06239,119.36334,0.0001158
1480000,118.54086,0.04041,118.54361,0.13643,118.56313,0.0001158
1485000,118.45542,0.02113,118.46168,0.59231,118.51129,0.0001157
1490000,118.16978,0.02155,118.16304,-0.62525,118.15645,0.0001157
1495000,118.70213,0.03672,118.69519,-0.37792,118.69394,0.0001157
1500000,119.43991,0.02372,119.43953,-0.03215,119.41694,0.0001157
1505000,120.45923,0.02830,120.46321,0.28076,120.50037,0.0001157
1510000,118.87988,0.05866,118.88101,0.03865,118.89632,0.0001157
1515000,119.87841,0.03201,119.87735,-0.06594,119.89034,0.0001156
1520000,120.00689,0.05964,120.02432,0.58447,119.97863,0.0001156
1525000,120.23043,0.05233,120.21828,-0.46455,120.22765,0.0001156
1530000,121.37806,0.04700,121.37488,-0.13526,121.36129,0.0001156
1535000,122.49491,0.04914,122.48626,-0.35193,122.46690,0.0001155
1540000,121.83900,0.03708,121.84002,0.05542,121.75421,0.0001155
1545000,121.52157,0.05218,121.53541,0.53042,121.52291,0.0001155
1550000,122.33584,0.05389,122.34259,0.25062,122.40368,0.0001155
1555000,122.29312,0.03991,122.28176,-0.56917,122.31659,0.0001154
1560000,122.76017,0.02019,122.76222,0.20397,122.74296,0.0001154
1565000,122.79545,0.03112,122.79525,-0.01321,122.85744,0.0001154
1570000,121.70600,0.03521,121.70440,-0.09086,121.72685,0.0001154
1575000,122.53748,0.05914,122.54091,0.11602,122.51685,0.0001153
1580000,121.77482,0.05966,121.77384,-0.03275,121.80605,0.0001153
1585000,121.49312,0.05246,121.50170,0.32722,121.53721,0.0001153
1590000,122.67560,0.04637,122.66782,-0.33552,122.62311,0.0001153
1595000,122.62134,0.05828,122.61559,-0.19707,122.64087,0.0001152
1600000,122.06099,0.05857,122.05539,-0.19123,122.08510,0.0001152
1605000,121.79489,0.02329,121.79694,0.17584,121.85012,0.0001152
1610000,121.36041,0.04527,121.36286,0.10836,121.35967,0.0001152
1615000,120.70384,0.05536,120.71018,0.22919,120.70980,0.0001152
1620000,119.80146,0.03349,119.81120,0.58206,119.79400,0.0001151
1625000,120.83362,0.04759,120.83685,0.13563,120.80734,0.0001151
1630000,120.48166,0.03632,120.48466,0.16518,120.51432,0.0001151
1635000,120.29528,0.05868,120.30691,0.39644,120.25122,0.0001151
1640000,120.38723,0.02504,120.38409,-0.25083,120.39699,0.0001151
1645000,121.45466,0.04290,121.45808,0.15927,121.44336,0.0001150
1650000,121.15090,0.02508,121.15146,0.04476,121.15234,0.0001150
1655000,119.99074,0.04861,119.99046,-0.01170,120.02050,0.0001150
1660000,119.29040,0.04809,119.28999,-0.01713,119.34055,0.0001150
1665000,119.95101,0.05730,119.95406,0.10659,119.94756,0.0001150
1670000,120.12675,0.04607,120.13033,0.15538,120.17186,0.0001149
1675000,120.32909,0.05822,120.33013,0.03582,120.35825,0.0001149
1680000,119.99638,0.04368,119.99315,-0.14802,119.98714,0.0001149
1685000,119.44344,0.04988,119.44954,0.24443,119.46650,0.0001149
1690000,118.04100,0.03788,118.03151,-0.50094,118.06782,0.0001149
1695000,117.63631,0.04919,117.63001,-0.25618,117.65750,0.0001149
1700000,116.24301,0.04588,116.23256,-0.45592,116.25405,0.0001148
1705000,116.09104,0.02415,116.09334,0.19061,116.07830,0.0001148
1710000,115.98354,0.02799,115.97985,-0.26356,116.00039,0.0001148
1715000,115.70648,0.03396,115.70119,-0.31201,115.73743,0.0001148
1720000,115.33891,0.03310,115.33712,-0.10810,115.37788,0.0001148
1725000,115.89304,0.05295,115.90108,0.30384,115.86579,0.0001148
1730000,116.25750,0.05782,116.26854,0.38193,116.23872,0.0001148
1735000,115.87342,0.03321,115.86594,-0.45036,115.89450,0.0001148
1740000,114.81664,0.02908,114.81786,0.08363,114.83743,0.0001148
1745000,114.77039,0.02738,114.76746,-0.21353,114.78118,0.0001148
1750000,114.25768,0.04295,114.25370,-0.18528,114.24208,0.0001148
1755000,115.33731,0.05987,115.34267,0.17912,115.31167,0.0001148
1760000,116.00477,0.05765,115.99302,-0.40761,116.02837,0.0001148
1765000,114.34839,0.03330,114.34551,-0.17321,114.32527,0.0001148
1770000,114.65360,0.03898,114.65047,-0.16047,114.62921,0.0001148
1775000,115.31588,0.03510,115.31748,0.09118,115.33322,0.0001148
1780000,115.44874,0.02959,115.44492,-0.25781,115.43358,0.0001148
1785000,114.10025,0.04406,114.09424,-0.27309,114.16223,0.0001148
1790000,113.25379,0.03631,113.25772,0.21651,113.23405,0.0001148
1795000,112.82521,0.02147,112.82795,0.25491,112.76558,0.0001148
1800000,112.03191,0.02227,112.03707,0.46329,112.08433,0.0001148
1805000,111.39972,0.02412,111.39696,-0.22905,111.37277,0.0001148
1810000,111.34219,0.03464,111.34148,-0.04098,111.34488,0.0001148
1815000,111.43665,0.03699,111.43404,-0.14138,111.44257,0.0001148
1820000,111.54341,0.02358,111.54001,-0.28835,111.50957,0.0001148
1825000,112.57087,0.03570,112.56888,-0.11146,112.55679,0.0001148
1830000,114.41397,0.04013,114.41480,0.04107,114.42278,0.0001148
1835000,114.01361,0.04325,114.01205,-0.07211,114.03675,0.0001148
1840000,112.86693,0.04390,112.87175,0.21955,112.89685,0.0001148
1845000,112.05113,0.05157,112.05127,0.00541,112.10585,0.0001148
1850000,112.57511,0.05134,112.56831,-0.26479,112.60602,0.0001148
1855000,112.21143,0.04867,112.21108,-0.01436,112.21308,0.0001148
1860000,112.59515,0.02926,112.59940,0.29088,112.61968,0.0001148
1865000,111.75500,0.02667,111.75254,-0.18448,111.69839,0.0001148
1870000,113.28818,0.05774,113.29955,0.39360,113.37637,0.0001148
1875000,114.16334,0.05064,114.15780,-0.21878,114.12581,0.0001148
1880000,114.20176,0.04010,114.20684,0.25319,114.11285,0.0001148
1885000,113.72107,0.03762,113.72340,0.12410,113.72325,0.0001148
1890000,114.07701,0.04795,114.06779,-0.38473,114.09341,0.0001148
1895000,113.60706,0.04081,113.60278,-0.20988,113.53405,0.0001148
1900000,113.61069,0.04733,113.59798,-0.53700,113.61491,0.0001148
1905000,114.39534,0.03524,114.39773,0.13580,114.40925,0.0001148
1910000,113.40141,0.02869,113.40177,0.02490,113.41079,0.0001148
1915000,113.89216,0.04061,113.89202,-0.00692,113.91372,0.0001148
1920000,113.76281,0.02991,113.77056,0.51837,113.73738,0.0001148
1925000,115.05768,0.02164,115.05995,0.20953,115.05081,0.0001148
1930000,114.33840,0.05851,114.34350,0.17441,114.31545,0.0001148
1935000,114.31256,0.05078,114.31649,0.15445,114.27038,0.0001148
1940000,115.65985,0.03240,115.66032,0.02891,115.66009,0.0001148
1945000,115.99576,0.05588,115.99443,-0.04778,115.99490,0.0001148
1950000,117.10822,0.05405,117.10999,0.06563,117.09704,0.0001148
1955000,116.26010,0.04822,116.25842,-0.06934,116.25638,0.0001148
1960000,116.11362,0.03496,116.10674,-0.39385,116.13889,0.0001148
1965000,115.15865,0.04981,115.15474,-0.15716,115.13892,0.0001148
1970000,115.13820,0.05180,115.14939,0.43229,115.16610,0.0001148
1975000,115.52634,0.02841,115.53404,0.54150,115.56626,0.0001148
1980000,115.94565,0.05917,115.94454,-0.03734,115.96780,0.0001148
1985000,116.68668,0.02270,116.68454,-0.18820,116.68476,0.0001148
